Entity,Female,Male
Football (Soccer),200,34
Basketball,69,123
American Football,27,287
Rugby,574,87
Baseball,365,34
Cricket,76,23
Volleyball,16,54
Hockey (Ice and Field),124,269
Handball,25,256
Lacrosse,123,9
Tennis,7,8
Golf,87,12
Boxing,78,78
Wrestling,40,45
Swimming,23,36
Gymnastics,45,12
Track and Field (Athletics),123,90
Archery,78,9
Martial Arts ,56,54
Figure Skating,46,56
Badminton,34,234
Squash,5,145
Table Tennis,0,189
Surfing,23,123
Sailing,78,34
Canoeing/Kayaking,45,45
Rowing,98,76
Water Polo,76,9
Skiing,12,67
Snowboarding,23,45
Ice Hockey,6,12
Bobsleigh,89,23
Luge,96,78
Curling,67,32
